PIP3,AKT
WNT,PKC
WNT,Dsh
UbcH10,UbcH10
UbcH10,cdh1/UbcH10
TCF,Slug
TCF,Myc
TCF,CycD
TAK1,TCF
TAK1,IKK
Snail,NFkB
Snail,Ecadh
Slug,Ecadh
RTK,Ras
RTK,PKC
Rb,E2F
Rb,CycA
Ras,RAF
Ras,PI3K
RAF,TSC1/2
RAF,ERK
PKC,RAF
PKC,NF1
PKC,IKK
PIP3,NFkB
PI3K,PIP3
p53/PTEN,PIP3
p53/Mdm2,Slug
p53,WNT
p53,TSC1/2
p53,Snail
p53,p53/PTEN
p53,p53/Mdm2
p53,Mdm2
p53,IKK
p53,Cytoc/APAF1
p53,BclXL
p53,Bcl2
p53,bcat
p53,BAX
p27,CycD
p27,CycA
NFkB,Snail
NFkB,Slug
NFkB,Myc
NFkB,Ecadh
NFkB,CycD
NFkB,Bcl2
NF1,Ras
Mdm2,Rb
Mdm2,p53/Mdm2
Mdm2,p53
IKK,NFkB
GSK3/APC,bcat
GSK3,Snail
GSK3,GSK3/APC
GSK3,CycD
FADD,Caspase8
ERK,TSC1/2
ERK,Myc
Ecadh,NFkB
E2F,Myc
E2F,E2F
Dsh,GSK3
DNA_Damage,ATM/ATR
Cytoc/APAF1,Caspase9
CycD,Rb
CycD,p27
CycA,UbcH10
CycA,Rb
CycA,p27
CycA,E2F
CycA,CycA
CycA,cdh1
CHK1/2,p53
cdh1/UbcH10,CycA
cdh1,UbcH10
cdh1,cdh1/UbcH10
Caspase8,Cytoc/APAF1
Caspase8,Bak
BclXL,Cytoc/APAF1
Bcl2,p53
Bcl2,Cytoc/APAF1
Bcl2,BAX
bcat,TCF
BAX,Cytoc/APAF1
BAX,Bcl2
Bak,Cytoc/APAF1
ATM/ATR,Mdm2
ATM/ATR,DNA_Repair
ATM/ATR,CHK1/2
AKT,TSC1/2
AKT,p27
AKT,Mdm2
AKT,IKK
AKT,GSK3
AKT,Glut-1
AKT,Cytoc/APAF1